"""","事業所数","従業者数(人)","現金給与総額(百万円)","原材料使用額等(百万円)","製造品出荷額等(百万円)","付加価値額(百万円)"
"平成25年(2013年)_湯 浅 町","34.0","402.0","1158.54","3591.58","6444.63","2628.95"
"平成25年(2013年)_広 川 町","15.0","292.0","1026.92","4394.07","6267.7","1806.03"
"平成25年(2013年)_有田川町","36.0","1363.0","4882.61","18860.3","28962.07","8776.89"
"平成25年(2013年)_美 浜 町","8.0","150.0","594.61","2850.52","4703.97","1811.0"
"平成25年(2013年)_日 高 町","12.0","151.0","612.85","1047.37","2508.25","1347.4"
"平成25年(2013年)_由 良 町","13.0","472.0","2196.49","7215.44","15094.13","7168.13"
"平成25年(2013年)_印 南 町","18.0","652.0","2249.1","8701.01","16999.03","6915.85"
"平成25年(2013年)_みなべ町","75.0","1558.0","4373.44","17954.07","29514.05","9826.44"
"平成25年(2013年)_日高川町","21.0","685.0","2477.87","9722.43","16049.88","5581.6"
"平成25年(2013年)_白 浜 町","25.0","611.0","1760.25","2719.82","6551.29","3450.43"
"平成25年(2013年)_上富田町","30.0","1099.0","3414.25","11651.48","20920.17","8245.71"
"平成25年(2013年)_すさみ町","10.0","172.0","484.43","2112.85","3899.91","1683.64"
"平成25年(2013年)_那智勝浦町","20.0","198.0","416.62","986.72","2259.44","1212.1"
"平成25年(2013年)_太 地 町","5.0","31.0","44.61","167.27","247.57","76.47"
"平成25年(2013年)_古座川町","3.0","30.0","x","x","x","x"
"平成25年(2013年)_北 山 村","1.0","14.0","x","x","x","x"
"平成25年(2013年)_串 本 町","24.0","286.0","575.31","1932.38","2913.01","933.82"
