"""","事業所数","従業者数(人)","現金給与総額(百万円)","原材料使用額等(百万円)","製造品出荷額等(百万円)","付加価値額(百万円)"
"平成24年(2012年)","1968.0","50181.0","198334.0","1848333.0","2867488.0","859880.0"
"","","","","","",""
"平成24年(2012年)_和歌山市","695.0","22483.0","104139.0","882726.0","1454989.0","508511.0"
"平成24年(2012年)_海 南 市","181.0","4195.0","15527.0","188646.0","281159.0","85797.0"
"平成24年(2012年)_橋 本 市","108.0","1418.0","3974.0","10582.0","20809.0","9506.0"
"平成24年(2012年)_有 田 市","68.0","2024.0","9028.0","530516.0","701208.0","101682.0"
"平成24年(2012年)_御 坊 市","60.0","1179.0","4299.0","16765.0","27338.0","9611.0"
"平成24年(2012年)_田 辺 市","162.0","2542.0","6895.0","20639.0","37751.0","16647.0"
"平成24年(2012年)_新 宮 市","35.0","574.0","1935.0","3162.0","7863.0","4363.0"
"平成24年(2012年)_紀の川市","150.0","4140.0","15885.0","64176.0","110360.0","38506.0"
"平成24年(2012年)_岩 出 市","40.0","969.0","2448.0","6968.0","12084.0","4722.0"
"平成24年(2012年)_紀美野町","41.0","652.0","1975.0","4057.0","8276.0","3838.0"
"平成24年(2012年)_かつらぎ町","44.0","1448.0","4563.0","21649.0","35746.0","12407.0"
"平成24年(2012年)_九度山町","8.0","89.0","208.0","318.0","707.0","370.0"
"平成24年(2012年)_高 野 町","6.0","86.0","354.0","295.0","997.0","669.0"
"平成24年(2012年)_湯 浅 町","35.0","436.0","1127.0","4545.0","6708.0","1941.0"
"平成24年(2012年)_広 川 町","14.0","303.0","1009.0","4024.0","5989.0","1755.0"
"平成24年(2012年)_有田川町","38.0","1371.0","4890.0","19575.0","29917.0","9334.0"
"平成24年(2012年)_美 浜 町","9.0","185.0","704.0","2246.0","4354.0","2067.0"
"平成24年(2012年)_日 高 町","13.0","150.0","614.0","1357.0","2950.0","1505.0"
"平成24年(2012年)_由 良 町","17.0","544.0","2445.0","7418.0","15751.0","7440.0"
"平成24年(2012年)_印 南 町","18.0","565.0","1944.0","9074.0","16159.0","6029.0"
"平成24年(2012年)_みなべ町","77.0","1619.0","4347.0","18509.0","29285.0","9639.0"
"平成24年(2012年)_日高川町","21.0","651.0","2479.0","9360.0","15553.0","5229.0"
"平成24年(2012年)_白 浜 町","30.0","666.0","2078.0","3786.0","7583.0","3494.0"
"平成24年(2012年)_上富田町","31.0","1110.0","3668.0","12458.0","24185.0","10557.0"
"平成24年(2012年)_すさみ町","12.0","189.0","512.0","1912.0","3649.0","1556.0"
"平成24年(2012年)_那智勝浦町","21.0","228.0","537.0","1424.0","2995.0","1475.0"
"平成24年(2012年)_太 地 町","6.0","36.0","55.0","215.0","235.0","19.0"
"平成24年(2012年)_古座川町","3.0","33.0","x","x","x","x"
"平成24年(2012年)_北 山 村","1.0","11.0","x","x","x","x"
"平成24年(2012年)_串 本 町","24.0","285.0","616.0","1705.0","2429.0","990.0"
"","","","","","",""
"平成25年(2013年)","1900.0","50059.0","193016.07","1986706.17","2972304.6","843021.07"
"","","","","","",""
"平成25年(2013年)_和歌山市","684.0","22059.0","99633.18","937790.2","1499710.17","507886.1"
"平成25年(2013年)_海 南 市","175.0","4072.0","14887.63","193028.47","298062.28","107329.88"
"平成25年(2013年)_橋 本 市","118.0","1554.0","4393.23","12032.25","23103.61","10202.92"
"平成25年(2013年)_有 田 市","64.0","2029.0","8686.65","607361.1","745433.32","65637.87"
"平成25年(2013年)_御 坊 市","51.0","1079.0","3909.1","15624.28","24188.7","7903.36"
"平成25年(2013年)_田 辺 市","151.0","2539.0","6585.8","20537.71","37268.66","15241.38"
"平成25年(2013年)_新 宮 市","32.0","567.0","1898.88","4133.89","11287.51","6723.42"
"平成25年(2013年)_紀の川市","144.0","4222.0","16163.34","62918.86","105645.3","38965.51"
"平成25年(2013年)_岩 出 市","37.0","1542.0","3118.14","9719.38","16108.83","5626.4"
"平成25年(2013年)_紀美野町","38.0","632.0","1950.58","4123.71","8496.2","3996.24"
"平成25年(2013年)_かつらぎ町","43.0","1441.0","4929.73","24624.33","37622.3","10959.78"
"平成25年(2013年)_九度山町","8.0","86.0","183.31","336.4","675.99","323.41"
"平成25年(2013年)_高 野 町","5.0","71.0","334.86","283.28","896.31","583.84"
